电脑太美了店家服务超级好,irr
21号下单22号就到货了开箱后与原来用的X230i比较了一下整体薄了一些但键盘的布局有变化按键小了点还要适应一下开机后运行速度快整体感觉还不错,irr
性能不错双十一搞活动买的感觉很赞确实很实惠了,irr
大品牌质量好值得大家购买,irr
东西很好就是这快递送的送的时间长还送错了,irr
质量非常好与卖家描述的完全一致非常满意真的很喜欢完全超出期望值发货速度非常快包装非常仔细严实物流公司服务态度很好运送速度很快很满意的一次购物,irr
相当不错很喜欢自己的第一台电脑第一台Mac赞,irr
不错不错不错不错不错,irr
比较适合商务人士设计风格简约大方携带方便,rel
游戏办公神器速度杠杠的外观时尚,irr
物流快稍微有些卡,irr
性价比超高试用速度快漂亮,rel
本本很好平常商务办公用一下就看准THINKPAD因为办公室有外接大屏幕所以选了个X280小的出差携带方便手提包里放进无压力分辨率反正办公用足够了不玩游戏不看电影,irr
速度可以散热可以电脑不会过热死机,rel
真的不错东西很好原装全新,irr
联想电脑专卖店没的说送货超快618活动力度很大,irr
给外甥买的他评价很高,irr
真小巧非常满意,rel
东西很不错经常买的就是有点慢,irr
在学习使用第一次用觉得陌生继续适应,irr
电脑非常好就是卖家不送办公软件和影视软件其他的完美想换苹果电脑的不要犹豫了,irr
质量非常好与卖家描述的完全一致非常满意真的很喜欢完全超出期望值发货速度非常快包装非常仔细严实物流公司服务态度很好运送速度很快很满意的一次购物,irr
双12比对了半天终于下决心买ThinkPad黑将s5买完后心里是忐忑的不知道是不是真合适毕竟东西也比较贵了但我信任京东信任联想这已经是我第三次在京东买电脑第二次买ThinkPad了我相信我的选择不会错果然送货很快我有些意外迫不及待安装打开几乎是秒开机我就知道我没选错明天周末有时间安上软件跑一跑我再来追评,irr
性价比很高三天到货送的无限静音鼠标很好用,irr
女朋友很喜欢,irr
好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,irr
包装细心超喜欢的好好用看了电影画质超好大爱比心终于有自己的电脑了,irr
屏幕分辨率太低不清晰其它的还好了,irr
很喜欢的本本虽然一直觉得男生才用Thinkpad但是现在也是为了科研专门买的笔记本看上去果然professionalThinkpad办公笔记本领导品牌但愿在联想的领导下能够更创辉煌屏幕很大性价比很高,irr
宝贝很实惠很喜欢与描述相符,irr
正品不错很喜欢送货快品质有保证选择京东就不会有错,irr
东西收到就是感觉内存小了些,irr
昨天下午买的今天下午就收到了很快已经使用起来了喜欢,irr
产品不错值得购买,rel
电脑看起来不错性价比高,rel
总的来说挺不错我们办公室买了4台同样型号的用得都挺好办公电脑还是用thinkpad比较省心,irr
超薄便携很方便用起来很舒服,rel
不错的东西值得购买,irr
京东电商老大送货真快机器很完美特别喜欢感谢京东,irr
不错不错实在太好了下次还买,irr
价格还是很不错的已经多次采购,irr
物流很快电脑办公用很好没问题,irr
商务用还是不错了目前还没有什么问题,irr
开机挺快电脑用了几天了感觉还不错店家很有耐心回答了好多疑问还发了分盘的教程很认真很细心感谢设计软件不卡很愉快的一次购物,irr
好评正想买一个X就遇上活动真便宜从X200开始已经是买的第三个X了,irr
机器很好客服很好都很好,irr
很好很好很好很好很好,irr
先只说下昨天刚收到今天再看就多了一个无线光标鼠标的赠品好哇,irr
电脑挺好速度很快客服态度也很好值得入手,irr
轻薄的携带方便配置也挺高办公用来回带着很方便,rel
苹果电脑和别的电脑真是不一样轻盈网速快简洁大爱,irr
亲亲亲亲亲亲亲亲,irr
给姐姐买的生日礼物她很喜欢很轻薄经常出差所以轻薄很重要太重了姐姐旅行箱拉不动,irr
很好大品牌美观大方,rel
我为什么喜欢在京东买东西因为今天买明天就可以送到我为什么每个商品的评价都一样因为在京东买的东西太多太多了导致积累了很多未评价的订单所以我统一用段话作为评价内容京东购物这么久有买到很好的产品也有买到比较坑的产品如果我用这段话来评价说明这款产品没问题至少85分以上而比较垃圾的产品我绝对不会偷懒到复制粘贴评价我绝对会用心的差评这样其他消费者在购买的时候会作为参考会影响该商品销量而商家也会因此改进商品质量,irr
外观很漂亮啊手感很好值得够买,rel
5488抢到的不错,irr
放在包里轻若无物浏览网页等轻度使用风扇不转静音100%满意京东自营买的放心物流迅速,irr
还可以应该是真的很轻配置有点低还在学习怎么用mav,irr
价格便宜东西实在送货快,irr
很不错已经在使用值得信赖,irr
运行不错用来办公很合适各方面都还可以值得购买,irr
不用说啥也好就是有些软件不兼容比如广联达,irr
不错好用物流快,irr
苹果就是不错,irr
是正品物流也特别快,irr
好东西就是苹果的客服业务水平不咋地,irr
不错加上活动立减买的比实体便宜又送货上门懒人必备赞一个性价比高开店给店员当柜台机,irr
次日到达东西精致,irr
